input_value,input_matched_alias,entity_id,pathway_id,pathway_description,pathway_source_system,pathway_data_source,pathway_etl_package_id,entity_relationships_by_group,total_entity_relationships,other_aliases,status,note
R-HSA-164843,R-HSA-164843,125943,R-HSA-164843,2-LTR circle formation,Reactome,reactome,,,,['2-LTR circle formation'],ok,
R-HSA-9909438,R-HSA-9909438,125944,R-HSA-9909438,3-Methylcrotonyl-CoA carboxylase deficiency,Reactome,reactome,,,,['3-Methylcrotonyl-CoA carboxylase deficiency'],ok,
R-HSA-9916722,R-HSA-9916722,125945,R-HSA-9916722,3-hydroxyisobutyryl-CoA hydrolase deficiency,Reactome,reactome,,,,['3-hydroxyisobutyryl-CoA hydrolase deficiency'],ok,
R-HSA-9914274,R-HSA-9914274,125946,R-HSA-9914274,3-methylglutaconic aciduria,Reactome,reactome,,,,['3-methylglutaconic aciduria'],ok,
R-HSA-73843,R-HSA-73843,125947,R-HSA-73843,5-Phosphoribose 1-diphosphate biosynthesis,Reactome,reactome,,,,['5-Phosphoribose 1-diphosphate biosynthesis'],ok,
R-HSA-5619084,R-HSA-5619084,125948,R-HSA-5619084,ABC transporter disorders,Reactome,reactome,,,,['ABC transporter disorders'],ok,
R-HSA-1369062,R-HSA-1369062,125949,R-HSA-1369062,ABC transporters in lipid homeostasis,Reactome,reactome,,,,['ABC transporters in lipid homeostasis'],ok,
R-HSA-382556,R-HSA-382556,125950,R-HSA-382556,ABC-family proteins mediated transport,Reactome,reactome,,,,['ABC-family proteins mediated transport'],ok,
R-HSA-9033807,R-HSA-9033807,125951,R-HSA-9033807,ABO blood group biosynthesis,Reactome,reactome,,,,['ABO blood group biosynthesis'],ok,
R-HSA-9660821,R-HSA-9660821,125952,R-HSA-9660821,ADORA2B mediated anti-inflammatory cytokines production,Reactome,reactome,,,,['ADORA2B mediated anti-inflammatory cytokines production'],ok,
R-HSA-418592,R-HSA-418592,125953,R-HSA-418592,ADP signalling through P2Y purinoceptor 1,Reactome,reactome,,,,['ADP signalling through P2Y purinoceptor 1'],ok,
R-HSA-392170,R-HSA-392170,125954,R-HSA-392170,ADP signalling through P2Y purinoceptor 12,Reactome,reactome,,,,['ADP signalling through P2Y purinoceptor 12'],ok,
R-HSA-198323,R-HSA-198323,125955,R-HSA-198323,AKT phosphorylates targets in the cytosol,Reactome,reactome,,,,['AKT phosphorylates targets in the cytosol'],ok,
R-HSA-198693,R-HSA-198693,125956,R-HSA-198693,AKT phosphorylates targets in the nucleus,Reactome,reactome,,,,['AKT phosphorylates targets in the nucleus'],ok,
R-HSA-211163,R-HSA-211163,125957,R-HSA-211163,AKT-mediated inactivation of FOXO1A,Reactome,reactome,,,,['AKT-mediated inactivation of FOXO1A'],ok,
R-HSA-9700645,R-HSA-9700645,125958,R-HSA-9700645,ALK mutants bind TKIs,Reactome,reactome,,,,['ALK mutants bind TKIs'],ok,
R-HSA-112122,R-HSA-112122,125959,R-HSA-112122,ALKBH2 mediated reversal of alkylation damage,Reactome,reactome,,,,['ALKBH2 mediated reversal of alkylation damage'],ok,
R-HSA-112126,R-HSA-112126,125960,R-HSA-112126,ALKBH3 mediated reversal of alkylation damage,Reactome,reactome,,,,['ALKBH3 mediated reversal of alkylation damage'],ok,
R-HSA-163680,R-HSA-163680,125961,R-HSA-163680,AMPK inhibits chREBP transcriptional activation activity,Reactome,reactome,,,,['AMPK inhibits chREBP transcriptional activation activity'],ok,
R-HSA-9931269,R-HSA-9931269,125962,R-HSA-9931269,AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274),Reactome,reactome,,,,['AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)'],ok,
R-HSA-5467333,R-HSA-5467333,125963,R-HSA-5467333,APC truncation mutants are not K63 polyubiquitinated,Reactome,reactome,,,,['APC truncation mutants are not K63 polyubiquitinated'],ok,
R-HSA-5467337,R-HSA-5467337,125964,R-HSA-5467337,APC truncation mutants have impaired AXIN binding,Reactome,reactome,,,,['APC truncation mutants have impaired AXIN binding'],ok,
R-HSA-179409,R-HSA-179409,125965,R-HSA-179409,APC-Cdc20 mediated degradation of Nek2A,Reactome,reactome,,,,['APC-Cdc20 mediated degradation of Nek2A'],ok,
R-HSA-174143,R-HSA-174143,125966,R-HSA-174143,APC/C-mediated degradation of cell cycle proteins,Reactome,reactome,,,,['APC/C-mediated degradation of cell cycle proteins'],ok,
R-HSA-174048,R-HSA-174048,125967,R-HSA-174048,APC/C:Cdc20 mediated degradation of Cyclin B,Reactome,reactome,,,,['APC/C:Cdc20 mediated degradation of Cyclin B'],ok,
R-HSA-174154,R-HSA-174154,125968,R-HSA-174154,APC/C:Cdc20 mediated degradation of Securin,Reactome,reactome,,,,['APC/C:Cdc20 mediated degradation of Securin'],ok,
R-HSA-176409,R-HSA-176409,125969,R-HSA-176409,APC/C:Cdc20 mediated degradation of mitotic proteins,Reactome,reactome,,,,['APC/C:Cdc20 mediated degradation of mitotic proteins'],ok,
