id,entity_id,hgnc_status,hgnc_id,entrez_id,ensembl_id,data_source_id,locus_group_id,locus_type_id
1,1,Approved,HGNC:5,1.0,ENSG00000121410,1,1,1
2,2,Approved,HGNC:37133,503538.0,ENSG00000268895,1,2,2
3,3,Approved,HGNC:24086,29974.0,ENSG00000148584,1,1,1
4,4,Approved,HGNC:7,2.0,ENSG00000175899,1,1,1
5,5,Approved,HGNC:27057,144571.0,ENSG00000245105,1,2,2
6,6,Approved,HGNC:23336,144568.0,ENSG00000166535,1,1,1
7,7,Approved,HGNC:41022,100874108.0,ENSG00000256661,1,2,2
8,8,Approved,HGNC:41523,106478979.0,ENSG00000256904,1,2,2
9,9,Approved,HGNC:8,3.0,ENSG00000256069,1,3,3
10,10,Approved,HGNC:30005,127550.0,ENSG00000184389,1,1,1
11,11,Approved,HGNC:18149,53947.0,ENSG00000128274,1,1,1
12,12,Approved,HGNC:17968,51146.0,ENSG00000118017,1,1,1
13,13,Entry Withdrawn,HGNC:1,,,1,4,4
14,14,Entry Withdrawn,HGNC:2,,,1,4,4
15,15,Entry Withdrawn,HGNC:3,,,1,4,4
16,16,Entry Withdrawn,HGNC:4,,,1,4,4
17,17,Approved,HGNC:13666,8086.0,ENSG00000094914,1,1,1
18,18,Entry Withdrawn,HGNC:12,,,1,4,4
19,19,Approved,HGNC:21298,65985.0,ENSG00000081760,1,1,1
20,20,Approved,HGNC:18226,729522.0,ENSG00000250420,1,3,3
21,21,Approved,HGNC:17,13.0,ENSG00000114771,1,1,1
22,22,Approved,HGNC:24427,344752.0,ENSG00000197953,1,1,1
23,23,Approved,HGNC:50301,101928142.0,ENSG00000242908,1,2,2
24,24,Approved,HGNC:32037,126767.0,ENSG00000188984,1,1,1
25,25,Approved,HGNC:32038,343066.0,ENSG00000204518,1,1,1
26,26,Approved,HGNC:50305,201651.0,ENSG00000240602,1,3,3
27,27,Approved,HGNC:17929,51166.0,ENSG00000109576,1,1,1
28,28,Approved,HGNC:25662,79719.0,ENSG00000103591,1,1,1
29,29,Approved,HGNC:19679,22848.0,ENSG00000115977,1,1,1
30,30,Approved,HGNC:30205,28971.0,ENSG00000087884,1,1,1
31,31,Approved,HGNC:18,14.0,ENSG00000127837,1,1,1
32,32,Approved,HGNC:19,15.0,ENSG00000129673,1,1,1
33,33,Approved,HGNC:15886,25980.0,ENSG00000131043,1,1,1
34,34,Approved,HGNC:33842,441376.0,ENSG00000205002,1,1,1
35,35,Approved,HGNC:20,16.0,ENSG00000090861,1,1,1
36,36,Approved,HGNC:49894,106480683.0,ENSG00000249038,1,3,3
37,37,Approved,HGNC:21022,57505.0,ENSG00000124608,1,1,1
38,38,Approved,HGNC:28417,80755.0,ENSG00000266967,1,1,1
39,39,Approved,HGNC:54994,117981788.0,ENSG00000234969,1,3,3
40,40,Approved,HGNC:23993,132949.0,ENSG00000157426,1,1,1
41,41,Approved,HGNC:14235,60496.0,ENSG00000149313,1,1,1
42,42,Approved,HGNC:58262,,ENSG00000254433,1,2,2
43,43,Approved,HGNC:17366,10157.0,ENSG00000008311,1,1,1
44,44,Approved,HGNC:51526,284837.0,ENSG00000215458,1,2,2
45,45,Approved,HGNC:19235,26574.0,ENSG00000275700,1,1,1
46,46,Approved,HGNC:21,9625.0,ENSG00000181409,1,1,1
47,47,Approved,HGNC:22,17.0,,1,4,5
48,48,Approved,HGNC:49667,103021294.0,ENSG00000281376,1,2,2
49,49,Approved,HGNC:23,18.0,ENSG00000183044,1,1,1
50,50,Approved,HGNC:29,19.0,ENSG00000165029,1,1,1
51,51,Approved,HGNC:32,20.0,ENSG00000107331,1,1,1
52,52,Approved,HGNC:33,21.0,ENSG00000167972,1,1,1
53,53,Approved,HGNC:55707,342293.0,ENSG00000257408,1,3,3
54,54,Approved,HGNC:34,24.0,ENSG00000198691,1,1,1
55,55,Approved,HGNC:35,23461.0,ENSG00000154265,1,1,1
56,56,Approved,HGNC:36,23460.0,ENSG00000154262,1,1,1
57,57,Approved,HGNC:37,10347.0,ENSG00000064687,1,1,1
58,58,Approved,HGNC:38,10351.0,ENSG00000141338,1,1,1
59,59,Approved,HGNC:39,10350.0,ENSG00000154258,1,1,1
60,60,Approved,HGNC:39983,104355297.0,ENSG00000231749,1,2,2
61,61,Approved,HGNC:30,10349.0,ENSG00000154263,1,1,1
62,62,Approved,HGNC:31,79963.0,ENSG00000251595,1,3,3
63,63,Approved,HGNC:14637,26154.0,ENSG00000144452,1,1,1
64,64,Approved,HGNC:14638,154664.0,ENSG00000179869,1,1,1
65,65,Approved,HGNC:34405,400508.0,ENSG00000189149,1,3,3
66,66,Approved,HGNC:32972,650655.0,ENSG00000238098,1,3,3
67,67,Approved,HGNC:40,5243.0,ENSG00000085563,1,1,1
68,68,Approved,HGNC:45,5244.0,ENSG00000005471,1,1,1
69,69,Approved,HGNC:46,340273.0,ENSG00000004846,1,1,1
70,70,Approved,HGNC:47,10058.0,ENSG00000115657,1,1,1
71,71,Approved,HGNC:48,22.0,ENSG00000131269,1,1,1
72,72,Approved,HGNC:49,11194.0,ENSG00000197150,1,1,1
73,73,Approved,HGNC:50,23457.0,ENSG00000150967,1,1,1
74,74,Approved,HGNC:41,23456.0,ENSG00000135776,1,1,1
75,75,Approved,HGNC:14114,56476.0,ENSG00000274099,1,3,3
76,76,Approved,HGNC:31129,728248.0,ENSG00000261524,1,3,3
77,77,Approved,HGNC:31130,100132289.0,ENSG00000260053,1,3,3
78,78,Approved,HGNC:42,8647.0,ENSG00000073734,1,1,1
79,79,Approved,HGNC:51,4363.0,ENSG00000103222,1,1,1
80,80,Approved,HGNC:53,1244.0,ENSG00000023839,1,1,1
81,81,Approved,HGNC:54,8714.0,ENSG00000108846,1,1,1
82,82,Approved,HGNC:55,10257.0,ENSG00000125257,1,1,1
83,83,Approved,HGNC:56,10057.0,ENSG00000114770,1,1,1
84,84,Approved,HGNC:40055,100873982.0,ENSG00000223882,1,2,2
85,85,Approved,HGNC:57,368.0,ENSG00000091262,1,1,1
86,86,Approved,HGNC:33352,653190.0,ENSG00000256340,1,3,3
87,87,Approved,HGNC:33353,730013.0,ENSG00000255277,1,3,3
88,88,Approved,HGNC:59,6833.0,ENSG00000006071,1,1,1
89,89,Approved,HGNC:60,10060.0,ENSG00000069431,1,1,1
90,90,Approved,HGNC:52,89845.0,ENSG00000124574,1,1,1
91,91,Approved,HGNC:14639,85320.0,ENSG00000121270,1,1,1
92,92,Approved,HGNC:14640,94160.0,ENSG00000140798,1,1,1
93,93,Approved,HGNC:16022,150000.0,ENSG00000243064,1,3,3
94,94,Approved,HGNC:61,215.0,ENSG00000101986,1,1,1
95,95,Approved,HGNC:62,23785.0,,1,3,3
96,96,Approved,HGNC:63,26983.0,ENSG00000215151,1,3,3
97,97,Approved,HGNC:64,26982.0,ENSG00000261233,1,3,3
98,98,Approved,HGNC:65,26957.0,ENSG00000225293,1,3,3
99,99,Approved,HGNC:42662,642762.0,ENSG00000214330,1,3,3
100,100,Approved,HGNC:66,225.0,ENSG00000173208,1,1,1
101,101,Approved,HGNC:67,5825.0,ENSG00000117528,1,1,1
102,102,Approved,HGNC:68,5826.0,ENSG00000119688,1,1,1
103,103,Approved,HGNC:69,6059.0,ENSG00000164163,1,1,1
104,104,Approved,HGNC:70,23.0,ENSG00000204574,1,1,1
105,105,Approved,HGNC:53628,107986587.0,,1,2,2
106,106,Approved,HGNC:71,10061.0,ENSG00000033050,1,1,1
107,107,Approved,HGNC:54751,114483834.0,ENSG00000285292,1,4,6
108,108,Approved,HGNC:48841,344653.0,ENSG00000242159,1,3,3
109,109,Approved,HGNC:48842,100422059.0,ENSG00000228769,1,3,3
110,110,Approved,HGNC:72,55324.0,ENSG00000161204,1,1,1
111,111,Approved,HGNC:73,9619.0,ENSG00000160179,1,1,1
112,112,Approved,HGNC:74,9429.0,ENSG00000118777,1,1,1
113,113,Approved,HGNC:13884,64137.0,ENSG00000172350,1,1,1
114,114,Approved,HGNC:13886,64240.0,ENSG00000138075,1,1,1
115,115,Approved,HGNC:13887,64241.0,ENSG00000143921,1,1,1
116,116,Approved,HGNC:17553,84696.0,ENSG00000143994,1,1,1
117,117,Approved,HGNC:18717,11057.0,ENSG00000140526,1,1,1
118,118,Approved,HGNC:18718,171586.0,ENSG00000158201,1,1,1
119,119,Approved,HGNC:20154,63874.0,ENSG00000100439,1,1,1
120,120,Approved,HGNC:21396,51099.0,ENSG00000011198,1,1,1
121,121,Approved,HGNC:21398,57406.0,ENSG00000163686,1,1,1
122,122,Approved,HGNC:23759,79575.0,ENSG00000127220,1,1,1
123,123,Approved,HGNC:25656,55347.0,ENSG00000144827,1,1,1
124,124,Approved,HGNC:16407,83451.0,ENSG00000106077,1,1,1
125,125,Entry Withdrawn,HGNC:40012,,,1,2,2
126,126,Approved,HGNC:15868,26090.0,ENSG00000100997,1,1,1
127,127,Approved,HGNC:19837,145447.0,ENSG00000131969,1,1,1
128,128,Approved,HGNC:20293,84945.0,ENSG00000139826,1,1,1
129,129,Approved,HGNC:24538,25864.0,ENSG00000248487,1,1,1
130,130,Approved,HGNC:38856,100526760.0,ENSG00000114786,1,4,6
131,131,Approved,HGNC:28235,84836.0,ENSG00000114779,1,1,1
132,132,Approved,HGNC:26971,116236.0,ENSG00000168792,1,1,1
133,133,Approved,HGNC:49685,104355133.0,ENSG00000264031,1,2,2
134,134,Approved,HGNC:13921,7920.0,ENSG00000204427,1,1,1
135,135,Approved,HGNC:16128,140701.0,ENSG00000183260,1,1,1
136,136,Approved,HGNC:28756,81926.0,ENSG00000129968,1,1,1
137,137,Approved,HGNC:28394,728917.0,ENSG00000198658,1,3,3
138,138,Approved,HGNC:34041,648359.0,ENSG00000250536,1,3,3
139,139,Approved,HGNC:34042,729495.0,ENSG00000229107,1,3,3
140,140,Approved,HGNC:34043,91219.0,ENSG00000263366,1,3,3
141,141,Approved,HGNC:34044,644988.0,ENSG00000226981,1,3,3
142,142,Approved,HGNC:38508,100133212.0,ENSG00000260864,1,3,3
143,143,Approved,HGNC:38509,647144.0,ENSG00000260540,1,3,3
144,144,Approved,HGNC:38510,100132251.0,ENSG00000261536,1,3,3
145,145,Approved,HGNC:24278,51104.0,ENSG00000107362,1,1,1
146,146,Approved,HGNC:26925,58489.0,ENSG00000136379,1,1,1
147,147,Approved,HGNC:26111,80167.0,ENSG00000164074,1,1,1
148,148,Approved,HGNC:11320,10006.0,ENSG00000136754,1,1,1
149,149,Approved,HGNC:20035,326268.0,ENSG00000271484,1,3,3
150,150,Approved,HGNC:24011,10152.0,ENSG00000138443,1,1,1
151,151,Approved,HGNC:29859,51225.0,ENSG00000108798,1,1,1
152,152,Approved,HGNC:17265,25890.0,ENSG00000154175,1,1,1
153,153,Approved,HGNC:1364,54942.0,ENSG00000119328,1,1,1
154,154,Approved,HGNC:39851,390403.0,ENSG00000251106,1,3,3
155,155,Approved,HGNC:76,25.0,ENSG00000097007,1,1,1
156,156,Approved,HGNC:77,27.0,ENSG00000143322,1,1,1
157,157,Approved,HGNC:78,3983.0,ENSG00000099204,1,1,1
158,158,Approved,HGNC:19195,84448.0,ENSG00000163995,1,1,1
159,159,Approved,HGNC:29132,22885.0,ENSG00000173210,1,1,1
160,160,Approved,HGNC:79,28.0,ENSG00000175164,1,1,1
161,161,Approved,HGNC:81,29.0,ENSG00000159842,1,1,1
162,162,Approved,HGNC:55674,105371479.0,ENSG00000235361,1,2,2
163,163,Approved,HGNC:30655,137735.0,ENSG00000174429,1,1,1
164,164,Approved,HGNC:21230,58527.0,ENSG00000146386,1,1,1
165,165,Approved,HGNC:25829,84142.0,ENSG00000163322,1,1,1
166,166,Approved,HGNC:56461,100421580.0,ENSG00000213431,1,3,3
167,167,Approved,HGNC:56462,100133073.0,ENSG00000253384,1,3,3
168,168,Approved,HGNC:28975,23172.0,ENSG00000165660,1,1,1
169,169,Approved,HGNC:17369,29777.0,ENSG00000146109,1,1,1
170,170,Approved,HGNC:39557,100420695.0,ENSG00000250496,1,3,3
171,171,Approved,HGNC:18275,80325.0,ENSG00000114626,1,1,1
172,172,Approved,HGNC:23842,25841.0,ENSG00000166016,1,1,1
173,173,Approved,HGNC:23844,121551.0,ENSG00000151136,1,1,1
174,174,Approved,HGNC:82,30.0,ENSG00000060971,1,1,1
175,175,Approved,HGNC:83,10449.0,ENSG00000167315,1,1,1
176,176,Approved,HGNC:55880,100420869.0,ENSG00000233585,1,3,3
177,177,Approved,HGNC:84,31.0,ENSG00000278540,1,1,1
178,178,Approved,HGNC:85,32.0,ENSG00000076555,1,1,1
