,package_id,created_at,source_system,data_source,status,operation_type,version_tag,note,log,extract_status,extract_start,extract_end,extract_rows,extract_hash,transform_status,transform_start,transform_end,transform_rows,transform_hash,load_status,load_start,load_end,load_rows,load_hash,extract_minutes,transform_minutes,load_minutes
0,109,2025-12-15 22:30:58.671737,Ensembl,ensembl,not-applicable,load,,,"{'note': 'load skipped (already completed for this hash)', 'source_transform_package_id': 100, 'previous_load_package_id': 101, 'hash': '9817507d585fc3dfe80b83d0c482d46248370b94a55e8ffa8c84e2cfcd081ddd'}",not-applicable,,,,,not-applicable,,,,,not-applicable,2025-12-15 22:31:01.292290,2025-12-15 22:31:01.292320,,9817507d585fc3dfe80b83d0c482d46248370b94a55e8ffa8c84e2cfcd081ddd,,,5e-07
1,108,2025-12-15 22:28:22.380478,Ensembl,ensembl,not-applicable,load,,,"{'note': 'load skipped (already completed for this hash)', 'source_transform_package_id': 100, 'previous_load_package_id': 101, 'hash': '9817507d585fc3dfe80b83d0c482d46248370b94a55e8ffa8c84e2cfcd081ddd'}",not-applicable,,,,,not-applicable,,,,,not-applicable,2025-12-15 22:28:34.362322,2025-12-15 22:28:34.362358,,9817507d585fc3dfe80b83d0c482d46248370b94a55e8ffa8c84e2cfcd081ddd,,,6e-07
2,107,2025-12-15 22:25:53.061346,Ensembl,ensembl,running,running,,,,pending,,,,,pending,,,,,pending,,,,,,,
3,106,2025-12-15 22:25:21.965093,Ensembl,ensembl,running,running,,,,pending,,,,,pending,,,,,pending,,,,,,,
4,105,2025-12-15 22:23:50.996174,Ensembl,ensembl,not-applicable,transform,,,"{'note': 'transform skipped (already completed for this hash)', 'source_extract_package_id': 102, 'previous_transform_package_id': 100, 'hash': '9817507d585fc3dfe80b83d0c482d46248370b94a55e8ffa8c84e2cfcd081ddd'}",not-applicable,,,,,not-applicable,2025-12-15 22:23:57.362179,2025-12-15 22:23:57.362210,,9817507d585fc3dfe80b83d0c482d46248370b94a55e8ffa8c84e2cfcd081ddd,not-applicable,,,,,,5.166666666666667e-07,
5,104,2025-12-15 22:21:32.642989,Ensembl,ensembl,not-applicable,transform,,,"{'note': 'transform skipped (already completed for this hash)', 'source_extract_package_id': 102, 'previous_transform_package_id': 100, 'hash': '9817507d585fc3dfe80b83d0c482d46248370b94a55e8ffa8c84e2cfcd081ddd'}",not-applicable,,,,,not-applicable,2025-12-15 22:21:52.685962,2025-12-15 22:21:52.686011,,9817507d585fc3dfe80b83d0c482d46248370b94a55e8ffa8c84e2cfcd081ddd,not-applicable,,,,,,8.166666666666666e-07,
6,102,2025-12-15 22:14:34.073187,Ensembl,ensembl,completed,extract,,,{'hash': '9817507d585fc3dfe80b83d0c482d46248370b94a55e8ffa8c84e2cfcd081ddd'},completed,2025-12-15 22:14:39.313500,2025-12-15 22:14:46.257485,,9817507d585fc3dfe80b83d0c482d46248370b94a55e8ffa8c84e2cfcd081ddd,pending,,,,,pending,,,,,0.11573308333333333,,
7,101,2025-12-15 22:08:39.863436,Ensembl,ensembl,completed,load,,,,not-applicable,,,,,not-applicable,,,,,completed,2025-12-15 22:10:08.824304,2025-12-15 22:12:33.201853,,9817507d585fc3dfe80b83d0c482d46248370b94a55e8ffa8c84e2cfcd081ddd,,,2.406292483333333
8,100,2025-12-15 21:35:52.263476,Ensembl,ensembl,completed,transform,,,,not-applicable,,,,,completed,2025-12-15 21:37:23.596978,2025-12-15 21:46:17.228638,,9817507d585fc3dfe80b83d0c482d46248370b94a55e8ffa8c84e2cfcd081ddd,pending,,,,,,8.893861,
9,99,2025-12-15 21:29:04.390180,Ensembl,ensembl,completed,extract,,,{'hash': '9817507d585fc3dfe80b83d0c482d46248370b94a55e8ffa8c84e2cfcd081ddd'},completed,2025-12-15 21:29:28.333361,2025-12-15 21:30:16.713897,,9817507d585fc3dfe80b83d0c482d46248370b94a55e8ffa8c84e2cfcd081ddd,pending,,,,,pending,,,,,0.8063422666666666,,
10,98,2025-12-15 15:46:22.126611,NCBI,dbsnp_chr9,running,running,,,,pending,,,,,running,2025-12-15 15:46:22.221230,,,981dcd9b31538d6f5af5701bd5c60dfe,pending,,,,,,,
11,97,2025-12-15 15:41:31.872640,NCBI,dbsnp_chr10,running,running,,,,pending,,,,,running,2025-12-15 15:41:32.042823,,,6d996161d665e139d0c72041ae825ce7,pending,,,,,,,
12,96,2025-12-15 14:18:11.257703,NCBI,dbsnp_chr10,running,running,,,,completed,2025-12-15 14:18:11.594341,2025-12-15 15:41:31.689639,,6d996161d665e139d0c72041ae825ce7,pending,,,,,pending,,,,,83.33492163333334,,
13,95,2025-12-15 14:17:58.342017,NCBI,dbsnp_chr9,running,running,,,,completed,2025-12-15 14:17:58.868537,2025-12-15 15:46:22.065779,,981dcd9b31538d6f5af5701bd5c60dfe,pending,,,,,pending,,,,,88.38662070000001,,
14,94,2025-12-14 22:58:12.935550,NCBI,dbsnp_chr7,running,running,,,,pending,,,,,pending,,,,,running,2025-12-14 22:58:12.987173,,,e3185931e6159b31bdf3f50f55973ff3,,,
15,93,2025-12-14 21:42:07.757679,NCBI,dbsnp_chr8,running,running,,,,pending,,,,,pending,,,,,running,2025-12-14 21:42:07.782899,,,2ce6dd8b7b4c844d90ec917eb2743fed,,,
